tvl
"{'date': 1605826800, 'totalLiquidityUSD': 61963413}"
"{'date': 1605913200, 'totalLiquidityUSD': 64498239}"
"{'date': 1605999600, 'totalLiquidityUSD': 76490326}"
"{'date': 1606086000, 'totalLiquidityUSD': 77571713}"
"{'date': 1606172400, 'totalLiquidityUSD': 80865752}"
"{'date': 1606258800, 'totalLiquidityUSD': 81382631}"
"{'date': 1606345200, 'totalLiquidityUSD': 83398655}"
"{'date': 1606431600, 'totalLiquidityUSD': 75181201}"
"{'date': 1606518000, 'totalLiquidityUSD': 75477121}"
"{'date': 1606604400, 'totalLiquidityUSD': 78747134}"
"{'date': 1606690800, 'totalLiquidityUSD': 78805468}"
"{'date': 1606777200, 'totalLiquidityUSD': 81303562}"
"{'date': 1606863600, 'totalLiquidityUSD': 79488137}"
"{'date': 1606950000, 'totalLiquidityUSD': 81718929}"
"{'date': 1607036400, 'totalLiquidityUSD': 89794530}"
"{'date': 1607122800, 'totalLiquidityUSD': 88887699}"
"{'date': 1607209200, 'totalLiquidityUSD': 88727961}"
"{'date': 1607295600, 'totalLiquidityUSD': 90881615}"
"{'date': 1607382000, 'totalLiquidityUSD': 96181552}"
"{'date': 1607468400, 'totalLiquidityUSD': 93150733}"
"{'date': 1607554800, 'totalLiquidityUSD': 95372905}"
"{'date': 1607641200, 'totalLiquidityUSD': 93112236}"
"{'date': 1607727600, 'totalLiquidityUSD': 93749631}"
"{'date': 1607814000, 'totalLiquidityUSD': 97092621}"
"{'date': 1607900400, 'totalLiquidityUSD': 101018090}"
"{'date': 1607986800, 'totalLiquidityUSD': 109933166}"
"{'date': 1608073200, 'totalLiquidityUSD': 136490567}"
"{'date': 1608159600, 'totalLiquidityUSD': 126426166}"
"{'date': 1608246000, 'totalLiquidityUSD': 123507506}"
"{'date': 1608332400, 'totalLiquidityUSD': 122075652}"
"{'date': 1608418800, 'totalLiquidityUSD': 122837896}"
"{'date': 1608505200, 'totalLiquidityUSD': 118011058}"
"{'date': 1608591600, 'totalLiquidityUSD': 116359237}"
"{'date': 1608678000, 'totalLiquidityUSD': 122724700}"
"{'date': 1608764400, 'totalLiquidityUSD': 122724700}"
"{'date': 1608850800, 'totalLiquidityUSD': 111742987}"
"{'date': 1608937200, 'totalLiquidityUSD': 111742987}"
"{'date': 1609023600, 'totalLiquidityUSD': 111742987}"
"{'date': 1609110000, 'totalLiquidityUSD': 111742987}"
"{'date': 1609196400, 'totalLiquidityUSD': 133139076}"
"{'date': 1609282800, 'totalLiquidityUSD': 132964884}"
"{'date': 1609369200, 'totalLiquidityUSD': 127444141}"
"{'date': 1609455600, 'totalLiquidityUSD': 124954208}"
"{'date': 1609542000, 'totalLiquidityUSD': 126243366}"
"{'date': 1609628400, 'totalLiquidityUSD': 127697763}"
"{'date': 1609714800, 'totalLiquidityUSD': 142522965}"
"{'date': 1609801200, 'totalLiquidityUSD': 140205963}"
"{'date': 1609887600, 'totalLiquidityUSD': 155519317}"
"{'date': 1609974000, 'totalLiquidityUSD': 163442953}"
"{'date': 1610060400, 'totalLiquidityUSD': 171212151}"
"{'date': 1610146800, 'totalLiquidityUSD': 165152613}"
"{'date': 1610233200, 'totalLiquidityUSD': 173590561}"
"{'date': 1610319600, 'totalLiquidityUSD': 173900182}"
"{'date': 1610406000, 'totalLiquidityUSD': 173900182}"
"{'date': 1610492400, 'totalLiquidityUSD': 157627255}"
"{'date': 1610578800, 'totalLiquidityUSD': 170242158}"
"{'date': 1610665200, 'totalLiquidityUSD': 178972049}"
"{'date': 1610751600, 'totalLiquidityUSD': 186691901}"
"{'date': 1610838000, 'totalLiquidityUSD': 191104533}"
"{'date': 1610924400, 'totalLiquidityUSD': 207412015}"
"{'date': 1611010800, 'totalLiquidityUSD': 203930489}"
"{'date': 1611097200, 'totalLiquidityUSD': 210565009}"
"{'date': 1611183600, 'totalLiquidityUSD': 202966594}"
"{'date': 1611270000, 'totalLiquidityUSD': 177080423}"
"{'date': 1611356400, 'totalLiquidityUSD': 198820905}"
"{'date': 1611442800, 'totalLiquidityUSD': 203675008}"
"{'date': 1611529200, 'totalLiquidityUSD': 218253583}"
"{'date': 1611615600, 'totalLiquidityUSD': 224959433}"
"{'date': 1611702000, 'totalLiquidityUSD': 248401735}"
"{'date': 1611788400, 'totalLiquidityUSD': 236081095}"
"{'date': 1611874800, 'totalLiquidityUSD': 280775186}"
"{'date': 1611961200, 'totalLiquidityUSD': 286076617}"
"{'date': 1612047600, 'totalLiquidityUSD': 294967608}"
"{'date': 1612134000, 'totalLiquidityUSD': 286308474}"
"{'date': 1612220400, 'totalLiquidityUSD': 298857690}"
"{'date': 1612306800, 'totalLiquidityUSD': 317430433}"
"{'date': 1612393200, 'totalLiquidityUSD': 328479557}"
"{'date': 1612479600, 'totalLiquidityUSD': 337353955}"
"{'date': 1612566000, 'totalLiquidityUSD': 373631778}"
"{'date': 1612652400, 'totalLiquidityUSD': 369098224}"
"{'date': 1612738800, 'totalLiquidityUSD': 360892284}"
"{'date': 1612825200, 'totalLiquidityUSD': 395363445}"
"{'date': 1612911600, 'totalLiquidityUSD': 427658203}"
"{'date': 1612998000, 'totalLiquidityUSD': 421349292}"
"{'date': 1613084400, 'totalLiquidityUSD': 460507079}"
"{'date': 1613170800, 'totalLiquidityUSD': 553027934}"
"{'date': 1613257200, 'totalLiquidityUSD': 567463085}"
"{'date': 1613343600, 'totalLiquidityUSD': 566152475}"
"{'date': 1613430000, 'totalLiquidityUSD': 552948735}"
"{'date': 1613516400, 'totalLiquidityUSD': 573548749}"
"{'date': 1613602800, 'totalLiquidityUSD': 654480388}"
"{'date': 1613689200, 'totalLiquidityUSD': 792413595}"
"{'date': 1613775600, 'totalLiquidityUSD': 793997005}"
"{'date': 1613862000, 'totalLiquidityUSD': 809730356}"
"{'date': 1613948400, 'totalLiquidityUSD': 962348709}"
"{'date': 1614034800, 'totalLiquidityUSD': 951160469}"
"{'date': 1614121200, 'totalLiquidityUSD': 820106364}"
"{'date': 1614207600, 'totalLiquidityUSD': 875528413}"
"{'date': 1614294000, 'totalLiquidityUSD': 843565762}"
"{'date': 1614380400, 'totalLiquidityUSD': 803284994}"
"{'date': 1614466800, 'totalLiquidityUSD': 844767034}"
"{'date': 1614553200, 'totalLiquidityUSD': 821198941}"
"{'date': 1614639600, 'totalLiquidityUSD': 931515116}"
"{'date': 1614726000, 'totalLiquidityUSD': 978139539}"
"{'date': 1614812400, 'totalLiquidityUSD': 1129499909}"
"{'date': 1614898800, 'totalLiquidityUSD': 1150927790}"
"{'date': 1614985200, 'totalLiquidityUSD': 1237959376}"
