tvl
"{'date': 1557266400, 'totalLiquidityUSD': 9546.158110882398}"
"{'date': 1557352800, 'totalLiquidityUSD': 10826.134363920417}"
"{'date': 1557439200, 'totalLiquidityUSD': 12505.618334479412}"
"{'date': 1557525600, 'totalLiquidityUSD': 12600.909091287562}"
"{'date': 1557612000, 'totalLiquidityUSD': 13079.681095310201}"
"{'date': 1557698400, 'totalLiquidityUSD': 13396.40646849165}"
"{'date': 1557784800, 'totalLiquidityUSD': 13068.488754937509}"
"{'date': 1557871200, 'totalLiquidityUSD': 14145.83237898656}"
"{'date': 1557957600, 'totalLiquidityUSD': 31276.42810573311}"
"{'date': 1558044000, 'totalLiquidityUSD': 32018.117891056918}"
"{'date': 1558130400, 'totalLiquidityUSD': 25775.887816072445}"
"{'date': 1558216800, 'totalLiquidityUSD': 25669.01117683032}"
"{'date': 1558303200, 'totalLiquidityUSD': 25060.271376191933}"
"{'date': 1558389600, 'totalLiquidityUSD': 28359.36685324551}"
"{'date': 1558476000, 'totalLiquidityUSD': 34514.19456899594}"
"{'date': 1558562400, 'totalLiquidityUSD': 40929.850727031706}"
"{'date': 1558648800, 'totalLiquidityUSD': 3029180.768750341}"
"{'date': 1558735200, 'totalLiquidityUSD': 10364458.516261084}"
"{'date': 1558821600, 'totalLiquidityUSD': 11097084.960131818}"
"{'date': 1558908000, 'totalLiquidityUSD': 11477315.228843803}"
"{'date': 1558994400, 'totalLiquidityUSD': 13896105.657121737}"
"{'date': 1559080800, 'totalLiquidityUSD': 17019520.895797882}"
"{'date': 1559167200, 'totalLiquidityUSD': 16922904.117829636}"
"{'date': 1559253600, 'totalLiquidityUSD': 17681470.05545423}"
"{'date': 1559340000, 'totalLiquidityUSD': 17366037.45193597}"
"{'date': 1559426400, 'totalLiquidityUSD': 18572920.598393396}"
"{'date': 1559512800, 'totalLiquidityUSD': 19232265.27210312}"
"{'date': 1559599200, 'totalLiquidityUSD': 20184022.471777402}"
"{'date': 1559685600, 'totalLiquidityUSD': 19724035.56111894}"
"{'date': 1559772000, 'totalLiquidityUSD': 19868167.677319802}"
"{'date': 1559858400, 'totalLiquidityUSD': 20757443.78877083}"
"{'date': 1559944800, 'totalLiquidityUSD': 20497246.519451544}"
"{'date': 1560031200, 'totalLiquidityUSD': 20547630.65854712}"
"{'date': 1560117600, 'totalLiquidityUSD': 20388305.578373894}"
"{'date': 1560204000, 'totalLiquidityUSD': 22268511.32431513}"
"{'date': 1560290400, 'totalLiquidityUSD': 23520650.012499314}"
"{'date': 1560376800, 'totalLiquidityUSD': 23451984.389901817}"
"{'date': 1560463200, 'totalLiquidityUSD': 24205028.68421819}"
"{'date': 1560549600, 'totalLiquidityUSD': 24842120.434574112}"
"{'date': 1560636000, 'totalLiquidityUSD': 25597292.375174444}"
"{'date': 1560722400, 'totalLiquidityUSD': 26202651.074415244}"
"{'date': 1560808800, 'totalLiquidityUSD': 27387441.588181734}"
"{'date': 1560895200, 'totalLiquidityUSD': 27697961.290528163}"
"{'date': 1560981600, 'totalLiquidityUSD': 28021183.693880513}"
"{'date': 1561068000, 'totalLiquidityUSD': 28240636.27558035}"
"{'date': 1561154400, 'totalLiquidityUSD': 29986415.578462772}"
"{'date': 1561240800, 'totalLiquidityUSD': 31108534.87433673}"
"{'date': 1561327200, 'totalLiquidityUSD': 31407567.45477271}"
"{'date': 1561413600, 'totalLiquidityUSD': 31772555.735457096}"
"{'date': 1561500000, 'totalLiquidityUSD': 36693409.96476756}"
"{'date': 1561586400, 'totalLiquidityUSD': 38589573.02945543}"
"{'date': 1561672800, 'totalLiquidityUSD': 37631526.79217327}"
"{'date': 1561759200, 'totalLiquidityUSD': 39516052.543228015}"
"{'date': 1561845600, 'totalLiquidityUSD': 38603484.86467335}"
"{'date': 1561932000, 'totalLiquidityUSD': 40221369.1286328}"
"{'date': 1562018400, 'totalLiquidityUSD': 38679699.5730167}"
"{'date': 1562104800, 'totalLiquidityUSD': 37771863.90945202}"
"{'date': 1562191200, 'totalLiquidityUSD': 42389542.98227818}"
"{'date': 1562277600, 'totalLiquidityUSD': 44952882.39547046}"
"{'date': 1562364000, 'totalLiquidityUSD': 46781650.54002987}"
"{'date': 1562450400, 'totalLiquidityUSD': 47247798.71783417}"
"{'date': 1562536800, 'totalLiquidityUSD': 47491123.797600076}"
"{'date': 1562623200, 'totalLiquidityUSD': 49789045.92803635}"
"{'date': 1562709600, 'totalLiquidityUSD': 50968808.46023377}"
"{'date': 1562796000, 'totalLiquidityUSD': 50787606.33053924}"
"{'date': 1562882400, 'totalLiquidityUSD': 46804821.714996874}"
"{'date': 1562968800, 'totalLiquidityUSD': 49074995.91194739}"
"{'date': 1563055200, 'totalLiquidityUSD': 49136806.1269044}"
"{'date': 1563141600, 'totalLiquidityUSD': 51565318.77000758}"
"{'date': 1563228000, 'totalLiquidityUSD': 54405435.4066543}"
"{'date': 1563314400, 'totalLiquidityUSD': 54307943.712953}"
"{'date': 1563400800, 'totalLiquidityUSD': 55917636.94179047}"
"{'date': 1563487200, 'totalLiquidityUSD': 60047141.669890694}"
"{'date': 1563573600, 'totalLiquidityUSD': 65566553.29498682}"
"{'date': 1563660000, 'totalLiquidityUSD': 71015027.22422226}"
"{'date': 1563746400, 'totalLiquidityUSD': 73321648.59267741}"
"{'date': 1563832800, 'totalLiquidityUSD': 77091901.01783168}"
"{'date': 1563919200, 'totalLiquidityUSD': 77795842.7554302}"
"{'date': 1564005600, 'totalLiquidityUSD': 79069185.17787771}"
"{'date': 1564092000, 'totalLiquidityUSD': 85427280.57347825}"
"{'date': 1564178400, 'totalLiquidityUSD': 90139646.04895644}"
"{'date': 1564264800, 'totalLiquidityUSD': 92087983.3619199}"
"{'date': 1564351200, 'totalLiquidityUSD': 88686132.74123955}"
"{'date': 1564437600, 'totalLiquidityUSD': 87883295.9716342}"
"{'date': 1564524000, 'totalLiquidityUSD': 88074968.15561596}"
"{'date': 1564610400, 'totalLiquidityUSD': 90683586.1050125}"
"{'date': 1564696800, 'totalLiquidityUSD': 93691761.71585038}"
"{'date': 1564783200, 'totalLiquidityUSD': 97311954.18807322}"
"{'date': 1564869600, 'totalLiquidityUSD': 99451333.1922967}"
"{'date': 1564956000, 'totalLiquidityUSD': 98964337.79902604}"
"{'date': 1565042400, 'totalLiquidityUSD': 101653740.88363366}"
"{'date': 1565128800, 'totalLiquidityUSD': 105964888.87709588}"
"{'date': 1565215200, 'totalLiquidityUSD': 105012318.42784551}"
"{'date': 1565301600, 'totalLiquidityUSD': 103320004.8054018}"
"{'date': 1565388000, 'totalLiquidityUSD': 98674208.48560365}"
"{'date': 1565474400, 'totalLiquidityUSD': 100501964.56111093}"
"{'date': 1565560800, 'totalLiquidityUSD': 99563105.02357863}"
"{'date': 1565647200, 'totalLiquidityUSD': 101334687.50393647}"
"{'date': 1565733600, 'totalLiquidityUSD': 102708519.08745317}"
"{'date': 1565820000, 'totalLiquidityUSD': 102147459.30788253}"
"{'date': 1565906400, 'totalLiquidityUSD': 94766256.00986123}"
"{'date': 1565992800, 'totalLiquidityUSD': 98197162.8874276}"
"{'date': 1566079200, 'totalLiquidityUSD': 100807857.12257701}"
"{'date': 1566165600, 'totalLiquidityUSD': 100222859.16421646}"
"{'date': 1566252000, 'totalLiquidityUSD': 106747995.29020925}"
"{'date': 1566338400, 'totalLiquidityUSD': 109060316.8881651}"
"{'date': 1566424800, 'totalLiquidityUSD': 105403589.13246682}"
"{'date': 1566511200, 'totalLiquidityUSD': 104972610.10681926}"
"{'date': 1566597600, 'totalLiquidityUSD': 107508838.9504638}"
"{'date': 1566684000, 'totalLiquidityUSD': 107538119.78859216}"
"{'date': 1566770400, 'totalLiquidityUSD': 109080467.36678527}"
"{'date': 1566856800, 'totalLiquidityUSD': 108757959.70024401}"
"{'date': 1566943200, 'totalLiquidityUSD': 107023439.83229592}"
"{'date': 1567029600, 'totalLiquidityUSD': 106403046.07836348}"
"{'date': 1567116000, 'totalLiquidityUSD': 100434705.20274459}"
"{'date': 1567202400, 'totalLiquidityUSD': 107116001.74540746}"
"{'date': 1567288800, 'totalLiquidityUSD': 106890852.70215897}"
"{'date': 1567375200, 'totalLiquidityUSD': 108641364.98314947}"
"{'date': 1567461600, 'totalLiquidityUSD': 109724348.669333}"
"{'date': 1567548000, 'totalLiquidityUSD': 111985742.16353872}"
"{'date': 1567634400, 'totalLiquidityUSD': 111948865.2756122}"
"{'date': 1567720800, 'totalLiquidityUSD': 109644957.78189775}"
"{'date': 1567807200, 'totalLiquidityUSD': 111470100.43884504}"
"{'date': 1567893600, 'totalLiquidityUSD': 108249664.85229515}"
"{'date': 1567980000, 'totalLiquidityUSD': 113140387.08283266}"
"{'date': 1568066400, 'totalLiquidityUSD': 112191227.18679474}"
"{'date': 1568152800, 'totalLiquidityUSD': 112859009.14021447}"
"{'date': 1568239200, 'totalLiquidityUSD': 111584079.99813357}"
"{'date': 1568325600, 'totalLiquidityUSD': 112278900.17719549}"
"{'date': 1568412000, 'totalLiquidityUSD': 112862070.843326}"
"{'date': 1568498400, 'totalLiquidityUSD': 114342771.8844031}"
"{'date': 1568584800, 'totalLiquidityUSD': 109217890.26777261}"
"{'date': 1568671200, 'totalLiquidityUSD': 109229847.61758167}"
"{'date': 1568757600, 'totalLiquidityUSD': 109126556.49477054}"
"{'date': 1568844000, 'totalLiquidityUSD': 115515080.63406965}"
"{'date': 1568930400, 'totalLiquidityUSD': 113081276.759239}"
"{'date': 1569016800, 'totalLiquidityUSD': 117266296.27333221}"
"{'date': 1569103200, 'totalLiquidityUSD': 116839234.89911598}"
"{'date': 1569189600, 'totalLiquidityUSD': 115834605.05853395}"
"{'date': 1569276000, 'totalLiquidityUSD': 113874375.34549496}"
"{'date': 1569362400, 'totalLiquidityUSD': 111601266.536317}"
"{'date': 1569448800, 'totalLiquidityUSD': 99704094.21264577}"
"{'date': 1569535200, 'totalLiquidityUSD': 101365590.79916736}"
"{'date': 1569621600, 'totalLiquidityUSD': 102341835.79089141}"
"{'date': 1569708000, 'totalLiquidityUSD': 106699359.15576641}"
"{'date': 1569794400, 'totalLiquidityUSD': 105191763.89140207}"
"{'date': 1569880800, 'totalLiquidityUSD': 104825144.72800952}"
"{'date': 1569967200, 'totalLiquidityUSD': 107172705.70939632}"
"{'date': 1570053600, 'totalLiquidityUSD': 104118801.53597006}"
"{'date': 1570140000, 'totalLiquidityUSD': 104936888.51321468}"
"{'date': 1570226400, 'totalLiquidityUSD': 104160702.28397413}"
"{'date': 1570312800, 'totalLiquidityUSD': 104494805.61736415}"
"{'date': 1570399200, 'totalLiquidityUSD': 104489700.40032485}"
"{'date': 1570485600, 'totalLiquidityUSD': 102495802.56079799}"
"{'date': 1570572000, 'totalLiquidityUSD': 109211592.24468875}"
"{'date': 1570658400, 'totalLiquidityUSD': 111574988.18313694}"
"{'date': 1570744800, 'totalLiquidityUSD': 115340147.90405323}"
"{'date': 1570831200, 'totalLiquidityUSD': 114135721.14507416}"
"{'date': 1570917600, 'totalLiquidityUSD': 113196957.62192304}"
"{'date': 1571004000, 'totalLiquidityUSD': 112577450.78531064}"
"{'date': 1571090400, 'totalLiquidityUSD': 112691139.01702632}"
