tvl
"{'date': 1599256800, 'totalLiquidityUSD': 0}"
"{'date': 1599343200, 'totalLiquidityUSD': 0}"
"{'date': 1599429600, 'totalLiquidityUSD': 0}"
"{'date': 1599516000, 'totalLiquidityUSD': 0}"
"{'date': 1599602400, 'totalLiquidityUSD': 0}"
"{'date': 1599688800, 'totalLiquidityUSD': 1082367977.0492365}"
"{'date': 1599775200, 'totalLiquidityUSD': 1057566287.7369685}"
"{'date': 1599861600, 'totalLiquidityUSD': 1456479137.608455}"
"{'date': 1599948000, 'totalLiquidityUSD': 1507280673.3622997}"
"{'date': 1600034400, 'totalLiquidityUSD': 908254884.9894301}"
"{'date': 1600120800, 'totalLiquidityUSD': 837959891.5039245}"
"{'date': 1600207200, 'totalLiquidityUSD': 786425770.6783688}"
"{'date': 1600293600, 'totalLiquidityUSD': 753239072.3786323}"
"{'date': 1600380000, 'totalLiquidityUSD': 623500397.1673586}"
"{'date': 1600466400, 'totalLiquidityUSD': 538311360.9353685}"
"{'date': 1600552800, 'totalLiquidityUSD': 534047767.1776868}"
"{'date': 1600639200, 'totalLiquidityUSD': 515748067.8945861}"
"{'date': 1600725600, 'totalLiquidityUSD': 449397157.945504}"
"{'date': 1600812000, 'totalLiquidityUSD': 465493137.19437706}"
"{'date': 1600898400, 'totalLiquidityUSD': 450231054.7403953}"
"{'date': 1600984800, 'totalLiquidityUSD': 470822736.54333204}"
"{'date': 1601071200, 'totalLiquidityUSD': 461265453.7693031}"
"{'date': 1601157600, 'totalLiquidityUSD': 444016873.9896698}"
"{'date': 1601244000, 'totalLiquidityUSD': 393380363.86379087}"
"{'date': 1601330400, 'totalLiquidityUSD': 415115618.72132796}"
"{'date': 1601416800, 'totalLiquidityUSD': 417320451.90164447}"
"{'date': 1601503200, 'totalLiquidityUSD': 381750840.4182736}"
"{'date': 1601589600, 'totalLiquidityUSD': 354599936.7743494}"
"{'date': 1601676000, 'totalLiquidityUSD': 362910832.2140551}"
"{'date': 1601762400, 'totalLiquidityUSD': 350543322.11384165}"
"{'date': 1601848800, 'totalLiquidityUSD': 332553044.01695275}"
"{'date': 1601935200, 'totalLiquidityUSD': 311147003.2607142}"
"{'date': 1602021600, 'totalLiquidityUSD': 287994629.71166474}"
"{'date': 1602108000, 'totalLiquidityUSD': 271992792.8322613}"
"{'date': 1602194400, 'totalLiquidityUSD': 283927079.703375}"
"{'date': 1602280800, 'totalLiquidityUSD': 300963993.3534341}"
"{'date': 1602367200, 'totalLiquidityUSD': 306687772.7654478}"
"{'date': 1602453600, 'totalLiquidityUSD': 309976770.611792}"
"{'date': 1602540000, 'totalLiquidityUSD': 318140480.8216885}"
"{'date': 1602626400, 'totalLiquidityUSD': 302531787.2329607}"
"{'date': 1602712800, 'totalLiquidityUSD': 299837269.6679808}"
"{'date': 1602799200, 'totalLiquidityUSD': 290711524.91154504}"
"{'date': 1602885600, 'totalLiquidityUSD': 288069116.3357068}"
"{'date': 1602972000, 'totalLiquidityUSD': 292116604.3918034}"
"{'date': 1603058400, 'totalLiquidityUSD': 303447186.8946111}"
"{'date': 1603144800, 'totalLiquidityUSD': 304323053.01633096}"
"{'date': 1603231200, 'totalLiquidityUSD': 288484875.4422278}"
"{'date': 1603317600, 'totalLiquidityUSD': 301729418.4805554}"
"{'date': 1603404000, 'totalLiquidityUSD': 297921935.53405464}"
"{'date': 1603490400, 'totalLiquidityUSD': 269424892.6080446}"
"{'date': 1603576800, 'totalLiquidityUSD': 275532845.51846826}"
"{'date': 1603666800, 'totalLiquidityUSD': 270976867.78947407}"
"{'date': 1603753200, 'totalLiquidityUSD': 267664553.00575787}"
"{'date': 1603839600, 'totalLiquidityUSD': 273885076.3066233}"
"{'date': 1603926000, 'totalLiquidityUSD': 268869024.7352997}"
"{'date': 1604012400, 'totalLiquidityUSD': 263298423.88232467}"
"{'date': 1604098800, 'totalLiquidityUSD': 260551134.46785122}"
"{'date': 1604185200, 'totalLiquidityUSD': 261389377.7963364}"
"{'date': 1604271600, 'totalLiquidityUSD': 266006941.0076069}"
"{'date': 1604358000, 'totalLiquidityUSD': 264192131.8628984}"
"{'date': 1604444400, 'totalLiquidityUSD': 259654269.6665698}"
"{'date': 1604530800, 'totalLiquidityUSD': 256640322.30594602}"
"{'date': 1604617200, 'totalLiquidityUSD': 261742010.62640318}"
"{'date': 1604703600, 'totalLiquidityUSD': 280484506.7469523}"
"{'date': 1604790000, 'totalLiquidityUSD': 250462786.89152446}"
"{'date': 1604876400, 'totalLiquidityUSD': 262586247.00417387}"
"{'date': 1604962800, 'totalLiquidityUSD': 265911804.76338312}"
"{'date': 1605049200, 'totalLiquidityUSD': 269068254.76914495}"
"{'date': 1605135600, 'totalLiquidityUSD': 270976714.3872867}"
"{'date': 1605222000, 'totalLiquidityUSD': 270863476.727006}"
"{'date': 1605308400, 'totalLiquidityUSD': 294930649.8985949}"
"{'date': 1605394800, 'totalLiquidityUSD': 310180050.92909014}"
"{'date': 1605481200, 'totalLiquidityUSD': 345463673.40510297}"
"{'date': 1605567600, 'totalLiquidityUSD': 418779493.14362687}"
"{'date': 1605654000, 'totalLiquidityUSD': 982499785.4080762}"
"{'date': 1605740400, 'totalLiquidityUSD': 1061652878.1408769}"
"{'date': 1605826800, 'totalLiquidityUSD': 1047292811.3630059}"
"{'date': 1605913200, 'totalLiquidityUSD': 1096715997.8825703}"
"{'date': 1605999600, 'totalLiquidityUSD': 1105842594.3377578}"
"{'date': 1606086000, 'totalLiquidityUSD': 1118689354.3538735}"
"{'date': 1606172400, 'totalLiquidityUSD': 685929958.4364814}"
"{'date': 1606258800, 'totalLiquidityUSD': 650128668.2070909}"
"{'date': 1606345200, 'totalLiquidityUSD': 612730613.6185185}"
"{'date': 1606431600, 'totalLiquidityUSD': 561502352.838684}"
"{'date': 1606518000, 'totalLiquidityUSD': 586165322.4853356}"
"{'date': 1606604400, 'totalLiquidityUSD': 643947313.6082712}"
"{'date': 1606690800, 'totalLiquidityUSD': 678889926.5802891}"
"{'date': 1606777200, 'totalLiquidityUSD': 739298328.790799}"
"{'date': 1606863600, 'totalLiquidityUSD': 743283204.8504598}"
"{'date': 1606950000, 'totalLiquidityUSD': 857393981.7176446}"
"{'date': 1607036400, 'totalLiquidityUSD': 919780846.1837922}"
"{'date': 1607122800, 'totalLiquidityUSD': 879184250.879515}"
"{'date': 1607209200, 'totalLiquidityUSD': 966821898.0311786}"
"{'date': 1607295600, 'totalLiquidityUSD': 987093330.748237}"
"{'date': 1607382000, 'totalLiquidityUSD': 980978231.1992995}"
"{'date': 1607468400, 'totalLiquidityUSD': 961447235.7911279}"
"{'date': 1607554800, 'totalLiquidityUSD': 988984479.7813382}"
"{'date': 1607641200, 'totalLiquidityUSD': 1002020977.0501405}"
"{'date': 1607727600, 'totalLiquidityUSD': 979842226.0519592}"
"{'date': 1607814000, 'totalLiquidityUSD': 1005015004.3592747}"
"{'date': 1607900400, 'totalLiquidityUSD': 1039443016.5369272}"
"{'date': 1607986800, 'totalLiquidityUSD': 1064475456.7326193}"
"{'date': 1608073200, 'totalLiquidityUSD': 1090859742.124766}"
"{'date': 1608159600, 'totalLiquidityUSD': 1156461188.312796}"
"{'date': 1608246000, 'totalLiquidityUSD': 1163032448.6199608}"
"{'date': 1608332400, 'totalLiquidityUSD': 1120280464.1162877}"
"{'date': 1608418800, 'totalLiquidityUSD': 1174858356.7378583}"
"{'date': 1608505200, 'totalLiquidityUSD': 1162713298.7167754}"
"{'date': 1608591600, 'totalLiquidityUSD': 1129313591.5047739}"
"{'date': 1608678000, 'totalLiquidityUSD': 1133955434.0502803}"
"{'date': 1608764400, 'totalLiquidityUSD': 1045175401.907159}"
"{'date': 1608850800, 'totalLiquidityUSD': 1113363353.7749043}"
"{'date': 1608937200, 'totalLiquidityUSD': 1182532718.173772}"
"{'date': 1609023600, 'totalLiquidityUSD': 1229651818.6069503}"
"{'date': 1609110000, 'totalLiquidityUSD': 1235164980.298725}"
"{'date': 1609196400, 'totalLiquidityUSD': 1281434077.3633094}"
"{'date': 1609282800, 'totalLiquidityUSD': 1327977815.8736327}"
"{'date': 1609369200, 'totalLiquidityUSD': 1112999558.033753}"
"{'date': 1609455600, 'totalLiquidityUSD': 1156882080.6574938}"
"{'date': 1609542000, 'totalLiquidityUSD': 1189527729.090839}"
"{'date': 1609628400, 'totalLiquidityUSD': 1252390167.0739727}"
"{'date': 1609714800, 'totalLiquidityUSD': 1416472072.988474}"
"{'date': 1609801200, 'totalLiquidityUSD': 1545725611.8902316}"
"{'date': 1609887600, 'totalLiquidityUSD': 1708104494.2713754}"
"{'date': 1609974000, 'totalLiquidityUSD': 1815424846.7941575}"
